angIn,angOut,angRef,angD,ni,lambda,color,angInDeg,angOutDeg,angRefDeg,angD2Deg,angD2DegCorr,rainbowNo
0.340301145799606,1.15891980727646,0.249870158846011,0.818618661476858,4,400,#5B0088,19.498,66.401,194.317,46.903,133.097,2
0.340301145799606,1.16565532977401,0.250992745928936,0.825354183974401,4,450,#0033FF,19.498,66.787,194.381,47.289,132.711,2
0.340301145799606,1.1707542407437,0.251842564423884,0.830453094944095,4,500,#00FF80,19.498,67.079,194.43,47.581,132.419,2
0.340301145799606,1.17478650721792,0.252514608836255,0.834485361418317,4,550,#92FF00,19.498,67.31,194.468,47.812,132.188,2
0.340301145799606,1.17809817396448,0.253066553294013,0.837797028164873,4,600,#FFB100,19.498,67.5,194.5,48.002,131.998,2
0.340301145799606,1.18089940768685,0.253533425581075,0.840598261887243,4,650,#F60000,19.498,67.661,194.526,48.163,131.837,2
0.340301145799606,1.18315198767714,0.253908855579457,0.842850841877533,4,700,#A20000,19.498,67.79,194.548,48.292,131.708,2
0.348216861612245,1.18521282106286,0.255571613779184,0.836995959450611,4,400,#5B0088,19.951,67.908,194.643,47.956,132.044,2
0.348216861612245,1.19210890398882,0.256720960933511,0.843892042376577,4,450,#0033FF,19.951,68.303,194.709,48.351,131.649,2
0.348216861612245,1.19732942575098,0.257591047893871,0.849112564138736,4,500,#00FF80,19.951,68.602,194.759,48.651,131.349,2
0.348216861612245,1.20145790219232,0.258279127300759,0.853241040580071,4,550,#92FF00,19.951,68.838,194.798,48.887,131.113,2
0.348216861612245,1.20484861123545,0.258844245474615,0.856631749623203,4,600,#FFB100,19.951,69.033,194.831,49.081,130.919,2
0.348216861612245,1.2077167225781,0.259322264031723,0.859499860965851,4,650,#F60000,19.951,69.197,194.858,49.246,130.754,2
0.348216861612245,1.21002309360085,0.259706659202182,0.8618062319886,4,700,#A20000,19.951,69.329,194.88,49.378,130.622,2
0.356132705582873,1.21145891891738,0.261265270750041,0.855326213334503,4,400,#5B0088,20.405,69.411,194.969,49.007,130.993,2
0.356132705582873,1.21851582415894,0.262441421623634,0.862383118576062,4,450,#0033FF,20.405,69.816,195.037,49.411,130.589,2
0.356132705582873,1.22385815958427,0.263331810861191,0.867725454001399,4,500,#00FF80,20.405,70.122,195.088,49.717,130.283,2
0.356132705582873,1.22808300925662,0.264035952473248,0.871950303673745,4,550,#92FF00,20.405,70.364,195.128,49.959,130.041,2
0.356132705582873,1.23155289656164,0.264614267024085,0.875420190978763,4,600,#FFB100,20.405,70.563,195.161,50.158,129.842,2
0.356132705582873,1.2344880018599,0.265103451240461,0.878355296277025,4,650,#F60000,20.405,70.731,195.189,50.326,129.674,2
