angIn,angOut,angRef,ni,lambda,color,angInDeg,angOutDeg,angRefDeg,angDiffDeg
0.488592605770261,-2.20951116586349,0.355168523374142,3,400,#5B0088,27.994,-126.596,200.35,154.589958802943
0.488592605770261,-2.20298413528517,0.356800281018721,3,450,#0033FF,27.994,-126.222,200.443,154.215987498052
0.488592605770261,-2.19804166563277,0.358035898431822,3,500,#00FF80,27.994,-125.939,200.514,153.932804846598
0.488592605770261,-2.19413226165323,0.359013249426706,3,550,#92FF00,27.994,-125.715,200.57,153.708812498159
0.488592605770261,-2.190920935411,0.359816080987263,3,600,#FFB100,27.994,-125.531,200.616,153.52481705784
0.488592605770261,-2.18820417718483,0.360495270543806,3,650,#F60000,27.994,-125.375,200.655,153.369158277523
0.488592605770261,-2.18601926102143,0.361041499584657,3,700,#A20000,27.994,-125.25,200.686,153.24397180277
0.514321619209341,-2.1636910721629,0.373055800159058,3,400,#5B0088,29.468,-123.97,201.375,153.4388246981
0.514321619209341,-2.15680329203919,0.374777745189986,3,450,#0033FF,29.468,-123.576,201.473,153.044183966797
0.514321619209341,-2.15158733497571,0.376081734455856,3,500,#00FF80,29.468,-123.277,201.548,152.745331640939
0.514321619209341,-2.14746141310858,0.37711321492264,3,550,#92FF00,29.468,-123.04,201.607,152.508933731351
0.514321619209341,-2.1440721023217,0.377960542619359,3,600,#FFB100,29.468,-122.846,201.656,152.314740527805
0.514321619209341,-2.14120467941415,0.378677398346245,3,650,#F60000,29.468,-122.682,201.697,152.150449297123
0.514321619209341,-2.13889853248893,0.379253935077551,3,700,#A20000,29.468,-122.55,201.73,152.018316811371
0.540053088737286,-2.11840594018251,0.390809950536143,3,400,#5B0088,30.943,-121.376,202.392,152.318482365551
0.540053088737286,-2.11115502703619,0.392622678822723,3,450,#0033FF,30.943,-120.96,202.496,151.903035644651
0.540053088737286,-2.10566372395211,0.393995504593743,3,500,#00FF80,30.943,-120.646,202.574,151.588407153906
0.540053088737286,-2.10131978100988,0.3950814903293,3,550,#92FF00,30.943,-120.397,202.637,151.339517556871
0.540053088737286,-2.09775122893482,0.395973628348065,3,600,#FFB100,30.943,-120.192,202.688,151.135054583998
0.540053088737286,-2.09473206260433,0.396728419930689,3,650,#F60000,30.943,-120.019,202.731,150.962069095612
0.540053088737286,-2.09230380697655,0.397335483837633,3,700,#A20000,30.943,-119.88,202.766,150.822940296562
0.565787243449647,-2.07369210476833,0.408421948067778,3,400,#5B0088,32.417,-118.814,203.401,151.231026764831
0.565787243449647,-2.06607563775657,0.410326064820717,3,450,#0033FF,32.417,-118.377,203.51,150.794635350257
0.565787243449647,-2.06030709790345,0.411768199783998,3,500,#00FF80,32.417,-118.047,203.593,150.46412236272
0.565787243449647,-2.05574360289371,0.412909073536434,3,550,#92FF00,32.417,-117.785,203.658,150.202653358833
0.565787243449647,-2.05199452835254,0.413846342171726,3,600,#FFB100,32.417,-117.571,203.712,149.987847210544
0.565787243449647,-2.04882251805209,0.414639344746837,3,650,#F60000,32.417,-117.389,203.757,149.806104407756
0.565787243449647,-2.04627125748393,0.415277159888877,3,700,#A20000,32.417,-117.243,203.794,149.659927944763
0.591524334415306,-2.02958741146006,0.425882394136261,3,400,#5B0088,33.892,-116.287,204.401,150.178640670825
0.591524334415306,-2.02160294992482,0.427878509520068,3,450,#0033FF,33.892,-115.829,204.516,149.721164723172
0.591524334415306,-2.01555526358663,0.429390431104616,3,500,#00FF80,33.892,-115.483,204.602,149.374657820174
0.591524334415306,-2.0107706680535,0.4305865799879,3,550,#92FF00,33.892,-115.209,204.671,149.100520689449
0.591524334415306,-2.0068397738757,0.431569303532351,3,600,#FFB100,33.892,-114.983,204.727,148.875297043348
0.591524334415306,-2.00351380435579,0.432400795912326,3,650,#F60000,33.892,-114.793,204.775,148.684733027068
0.591524334415306,-2.00083862999824,0.433069589501716,3,700,#A20000,33.892,-114.64,204.813,148.531456826919
0.617264637768615,-1.98613130979585,0.44318149539064,3,400,#5B0088,35.367,-113.797,205.392,149.163600196905
0.617264637768615,-1.97777641311466,0.445270219560936,3,450,#0033FF,35.367,-113.318,205.512,148.684899878806
0.617264637768615,-1.9714476665343,0.446852406206025,3,500,#00FF80,35.367,-112.956,205.603,148.322289410143
0.617264637768615,-1.96644041629612,0.448104218765573,3,550,#92FF00,35.367,-112.669,205.674,148.035395104529
0.617264637768615,-1.96232639891225,0.449132723111539,3,600,#FFB100,35.367,-112.433,205.733,147.79967927159
0.617264637768615,-1.95884534830171,0.450002985764174,3,650,#F60000,35.367,-112.234,205.783,147.600229763335
0.617264637768615,-1.9560453451691,0.450702986547327,3,700,#A20000,35.367,-112.073,205.823,147.439801401213
0.643008458309346,-1.94336494779561,0.460309041025884,3,400,#5B0088,36.842,-111.347,206.374,148.188280414689
0.643008458309346,-1.93463719777166,0.462490978531871,3,450,#0033FF,36.842,-110.847,206.499,147.688217173672
0.643008458309346,-1.92802549001892,0.464143905470055,3,500,#00FF80,36.842,-110.468,206.593,147.309394224066
0.643008458309346,-1.92279403845259,0.465451768361638,3,550,#92FF00,36.842,-110.168,206.668,147.009654128588
0.643008458309346,-1.91849559876556,0.466526378283395,3,600,#FFB100,36.842,-109.922,206.73,146.76337167603
0.643008458309346,-1.91485834773806,0.467435691040269,3,650,#F60000,36.842,-109.713,206.782,146.554972543125
0.643008458309346,-1.91193260205903,0.468167127460026,3,700,#A20000,36.842,-109.546,206.824,146.387339663787
0.66875613371315,-1.90133126709321,0.477254380052432,3,400,#5B0088,38.317,-108.938,207.345,147.255161045952
0.66875613371315,-1.89222829313711,0.479530123541459,3,450,#0033FF,38.317,-108.417,207.475,146.73359905725
0.66875613371315,-1.88533175511519,0.481254258046938,3,500,#00FF80,38.317,-108.022,207.574,146.338456535343
0.66875613371315,-1.87987457814684,0.482618552289026,3,550,#92FF00,38.317,-107.709,207.652,146.025783327
0.66875613371315,-1.87539043381434,0.48373958837215,3,600,#FFB100,38.317,-107.452,207.716,145.76886078202
0.66875613371315,-1.87159587595554,0.484688227836851,3,650,#F60000,38.317,-107.235,207.771,145.551448631593
0.66875613371315,-1.86854348349386,0.485451325952272,3,700,#A20000,38.317,-107.06,207.814,145.376559426121
0.694508039479419,-1.86007509805583,0.494006398753345,3,400,#5B0088,39.792,-106.574,208.304,146.366832196058
0.694508039479419,-1.85059460542233,0.49637652191172,3,450,#0033FF,39.792,-106.031,208.44,145.823639980453
0.694508039479419,-1.84341142121937,0.498172317962461,3,500,#00FF80,39.792,-105.62,208.543,145.412073842158
0.694508039479419,-1.83772703418896,0.499593414720063,3,550,#92FF00,39.792,-105.294,208.625,145.086382456197
0.694508039479419,-1.83305593345782,0.500761189902848,3,600,#FFB100,39.792,-105.026,208.692,144.818748098622
0.694508039479419,-1.82910298695398,0.501749426528808,3,650,#F60000,39.792,-104.8,208.748,144.592260947311
0.694508039479419,-1.82592306239798,0.502544407667808,3,700,#A20000,39.792,-104.618,208.794,144.410064691083
0.720264594774407,-1.81964325408018,0.510553498571005,3,400,#5B0088,41.268,-104.258,209.253,145.52600009152
0.720264594774407,-1.80978305543106,0.513018548233286,3,450,#0033FF,41.268,-103.693,209.394,144.961052323764
0.720264594774407,-1.80231148623011,0.514886440533524,3,500,#00FF80,41.268,-103.265,209.501,144.53296294221
0.720264594774407,-1.79639846280391,0.516364696390072,3,550,#92FF00,41.268,-102.926,209.586,144.194171655727
0.720264594774407,-1.79153920004247,0.517579512080432,3,600,#FFB100,41.268,-102.648,209.655,143.915756407952
0.720264594774407,-1.78742682081684,0.51860760688684,3,650,#F60000,41.268,-102.412,209.714,143.680134434565
0.720264594774407,-1.78411850834053,0.519434685005917,3,700,#A20000,41.268,-102.222,209.761,143.490582092363
0.74602626936706,-1.78008462409234,0.526883574716128,3,400,#5B0088,42.744,-101.991,210.188,144.735492777245
0.74602626936706,-1.76984267465992,0.529444062074234,3,450,#0033FF,42.744,-101.405,210.335,144.148672300781
0.74602626936706,-1.7620810854246,0.531384459383062,3,500,#00FF80,42.744,-100.96,210.446,143.703965995283
0.74602626936706,-1.75593807873313,0.532920211055932,3,550,#92FF00,42.744,-100.608,210.534,143.351997638341
0.74602626936706,-1.75088951181142,0.534182352786359,3,600,#FFB100,42.744,-100.319,210.606,143.062736061138
0.74602626936706,-1.74661670823763,0.535250553679807,3,650,#F60000,42.744,-100.074,210.668,142.817922449671
0.74602626936706,-1.74317919333931,0.536109932404385,3,700,#A20000,42.744,-99.877,210.717,142.620967353984
0.771793591906328,-1.74145026210063,0.542983995848873,3,400,#5B0088,44.221,-99.778,211.111,143.998265721792
0.771793591906328,-1.73082469872415,0.545640386692993,3,450,#0033FF,44.221,-99.169,211.263,143.389465785371
0.771793591906328,-1.7227715878765,0.547653664404904,3,500,#00FF80,44.221,-98.708,211.378,142.92805652185
0.771793591906328,-1.71639735405557,0.549247222860138,3,550,#92FF00,44.221,-98.342,211.47,142.562839826281
0.771793591906328,-1.71115842372368,0.550556955443111,3,600,#FFB100,44.221,-98.042,211.545,142.2626712291
0.771793591906328,-1.70672427304668,0.55166549311236,3,650,#F60000,44.221,-97.788,211.608,142.008613109583
0.771793591906328,-1.70315679577216,0.55255736243099,3,700,#A20000,44.221,-97.584,211.659,141.804211718244
0.79756715985561,-1.70379347246443,0.558841585245244,3,400,#5B0088,45.697,-97.62,212.019,143.317407272113
0.79756715985561,-1.69278265676133,0.561594289171019,3,450,#0033FF,45.697,-96.989,212.177,142.686534003329
0.79756715985561,-1.68443668906189,0.563680781095878,3,500,#00FF80,45.697,-96.511,212.297,142.208345278199
0.79756715985561,-1.67783011337053,0.56533242501872,3,550,#92FF00,45.697,-96.133,212.391,141.82981637405
0.79756715985561,-1.67239986478266,0.566689987165685,3,600,#FFB100,45.697,-95.821,212.469,141.518686048258
0.79756715985561,-1.66780353137539,0.567839070517504,3,650,#F60000,45.697,-95.558,212.535,141.255335542787
0.79756715985561,-1.66410540103121,0.568763603103549,3,700,#A20000,45.697,-95.346,212.588,141.043448281976
0.823347651487681,-1.66716988935083,0.574442603931661,3,400,#5B0088,47.174,-95.522,212.913,142.696143893347
0.823347651487681,-1.65577245526535,0.577291962453029,3,450,#0033FF,47.174,-94.869,213.076,142.043119022971
0.823347651487681,-1.64713249809213,0.579451951746336,3,500,#00FF80,47.174,-94.374,213.2,141.548085941772
0.823347651487681,-1.6402926237706,0.581161920326719,3,550,#92FF00,47.174,-93.982,213.298,141.156190010748
0.823347651487681,-1.63467023029456,0.582567518695727,3,600,#FFB100,47.174,-93.66,213.379,140.834050593809
0.823347651487681,-1.62991098587246,0.583757329801255,3,650,#F60000,47.174,-93.387,213.447,140.561365974751
0.823347651487681,-1.6260815973301,0.584714676936845,3,700,#A20000,47.174,-93.168,213.502,140.341958173158
0.849135840459921,-1.63163754866563,0.589772736346021,3,400,#5B0088,48.652,-93.486,213.791,142.137845125259
0.849135840459921,-1.61985245460593,0.592719009860946,3,450,#0033FF,48.652,-92.811,213.96,141.462608974474
0.849135840459921,-1.61091761780578,0.594952719060984,3,500,#00FF80,48.652,-92.299,214.088,140.950680535187
0.849135840459921,-1.60384367782004,0.596721204057419,3,550,#92FF00,48.652,-91.893,214.19,140.545373629475
0.849135840459921,-1.59802846725812,0.598175006697898,3,600,#FFB100,48.652,-91.56,214.273,140.212186607298
0.849135840459921,-1.59310571316249,0.599405695221805,3,650,#F60000,48.652,-91.278,214.343,139.930133574037
0.849135840459921,-1.58914456484553,0.600395982301046,3,700,#A20000,48.652,-91.051,214.4,139.70317649345
0.874932613645239,-1.59725695057929,0.604817079163936,3,400,#5B0088,50.13,-91.516,214.653,141.646028186352
0.874932613645239,-1.58508353630821,0.607860432731706,3,450,#0033FF,50.13,-90.819,214.828,140.948542926354
0.874932613645239,-1.57585321576071,0.61016801286858,3,500,#00FF80,50.13,-90.29,214.96,140.41968451543
0.874932613645239,-1.56854466755336,0.611995149920419,3,550,#92FF00,50.13,-89.871,215.065,140.000935548781
0.874932613645239,-1.56253615087971,0.613497279088832,3,600,#FFB100,50.13,-89.527,215.151,139.656672902246
0.874932613645239,-1.55744944252322,0.614768956177953,3,650,#F60000,50.13,-89.235,215.224,139.365225981806
0.874932613645239,-1.55335615615578,0.615792277769814,3,700,#A20000,50.13,-89.001,215.282,139.130697948613
0.900738993104376,-1.56409111064328,0.619560134012722,3,400,#5B0088,51.609,-89.616,215.498,141.224362161534
0.900738993104376,-1.55152915902523,0.622700621917236,3,450,#0033FF,51.609,-88.896,215.678,140.504615351371
0.900738993104376,-1.54200308401196,0.625082140670551,3,500,#00FF80,51.609,-88.35,215.815,139.958811457787
0.900738993104376,-1.53445964734292,0.626967999837813,3,550,#92FF00,51.609,-87.918,215.923,139.526604373626
0.900738993104376,-1.52825755003243,0.628518524165435,3,600,#FFB100,51.609,-87.563,216.011,139.171250373606
0.900738993104376,-1.52300662357525,0.62983125577973,3,650,#F60000,51.609,-87.262,216.087,138.870394449075
0.900738993104376,-1.51878096574995,0.630887670236053,3,700,#A20000,51.609,-87.02,216.147,138.62828209002
0.926556163372436,-1.53220559743764,0.633985804881147,3,400,#5B0088,53.088,-87.789,216.325,140.876671722572
0.926556163372436,-1.51925540106134,0.637223353975222,3,450,#0033FF,53.088,-87.047,216.51,140.134680126345
0.926556163372436,-1.50943368547106,0.639678782872791,3,500,#00FF80,53.088,-86.484,216.651,139.571937275444
0.926556163372436,-1.50165538338213,0.641623358395024,3,550,#92FF00,53.088,-86.039,216.762,139.12627339397
0.926556163372436,-1.49525967936578,0.643222284399112,3,600,#FFB100,53.088,-85.672,216.854,138.759826546818
